practice_id,target_label,target_id,evidence
prac_no_till,SoilType,soil_calcareous,strong
prac_no_till,SoilType,soil_clay_loam,moderate
prac_cover_cropping,SoilType,soil_sandy_loam,strong
prac_cover_cropping,SoilType,soil_calcareous,moderate
prac_gypsum_amendment,SoilType,soil_clay,strong
prac_deep_tillage,SoilType,soil_clay,moderate
prac_solarization,SoilType,soil_clay_loam,moderate
prac_deficit_irrigation,Crop,crop_wheat,strong
prac_deficit_irrigation,Crop,crop_sugarbeet,moderate
prac_drip_irrigation,Crop,crop_cotton,strong
prac_drip_irrigation,Crop,crop_maize,strong
prac_split_n,Crop,crop_wheat,strong
prac_split_n,Crop,crop_maize,strong
prac_crop_rotation,Crop,crop_wheat,strong
prac_crop_rotation,Crop,crop_cotton,moderate
prac_resistant_cultivars,Crop,crop_wheat,strong
prac_resistant_cultivars,Crop,crop_chickpea,moderate
prac_ipm_scouting,Crop,crop_cotton,strong
prac_pheromone_trapping,Crop,crop_olive,strong
