practice_id,pest_id,mechanism
prac_crop_rotation,pest_verticillium,"Non-host crops starve the soilborne microsclerotia and lower field inoculum over successive seasons."
prac_crop_rotation,pest_cercospora,"Breaking the beet sequence removes the infected residue that carries the fungus between seasons."
prac_crop_rotation,pest_ascochyta,"A three-year break from chickpea allows infected stubble to decompose before the next host crop."
prac_crop_rotation,pest_root_knot_nematode,"Rotating to a poor host reduces juvenile population density in the absence of a feeding site."
prac_resistant_cultivars,pest_yellow_rust,"Cultivars carrying effective Yr resistance genes block or slow pustule development."
prac_resistant_cultivars,pest_septoria,"Partial resistance lengthens the latent period and reduces the number of infection cycles per season."
prac_resistant_cultivars,pest_ascochyta,"Resistant lines limit lesion expansion so that fungicide programmes can be shortened."
prac_pheromone_trapping,pest_olive_fruit_fly,"Mass trapping removes adult females before oviposition, holding infestation under the treatment threshold."
prac_pheromone_trapping,pest_corn_borer,"Trap catches time the spray window and mating disruption lowers successful oviposition."
prac_ipm_scouting,pest_sunn_pest,"Counting overwintered adults per square metre triggers treatment only above the economic threshold."
prac_ipm_scouting,pest_cotton_bollworm,"Egg and larval counts prevent calendar spraying and preserve natural enemies."
prac_solarization,pest_root_knot_nematode,"Soil temperatures above 45 C under plastic mulch kill second-stage juveniles in the upper profile."
prac_solarization,pest_verticillium,"Sustained heating inactivates microsclerotia in the tilled layer before planting."
prac_cover_cropping,pest_wild_oat,"A dense winter cover competes for light and nitrogen, suppressing wild oat establishment."
prac_cover_cropping,pest_root_knot_nematode,"Brassica cover crops release glucosinolate breakdown products that act as a biofumigant."
